name,pos,scale,Rotation,,,,,,
Tx_Box(Clone),-2.58,0.5,-1.53,1,1,1,0,0,0
Tx_Box(Clone),-2.58,0.5,-0.53,1,1,1,0,0,0
Tx_Box(Clone),-2.58,0.5,0.47,1,1,1,0,0,0
Tx_Box(Clone),-2.58,0.5,1.47,1,1,1,0,0,0
Tx_Box(Clone),-2.58,0.5,2.47,1,1,1,0,0,0
Tx_Box(Clone),-1.58,0.5,-1.53,1,1,1,0,0,0
Tx_Box(Clone),-1.58,0.5,-0.53,1,1,1,0,0,0
Tx_Box(Clone),-1.58,0.5,0.47,1,1,1,0,0,0
Tx_Box(Clone),-1.58,0.5,1.47,1,1,1,0,0,0
Tx_Box(Clone),-1.58,0.5,2.47,1,1,1,0,0,0
Tx_Box(Clone),-0.58,0.5,-1.53,1,1,1,0,0,0
Tx_Box(Clone),-0.58,0.5,-0.53,1,1,1,0,0,0
Tx_Box(Clone),-0.58,0.5,0.47,1,1,1,0,0,0
Tx_Box(Clone),-0.58,0.5,1.47,1,1,1,0,0,0
Tx_Box(Clone),-0.58,0.5,2.47,1,1,1,0,0,0
Tx_Box(Clone),0.42,0.5,-1.53,1,1,1,0,0,0
Tx_Box(Clone),0.42,0.5,-0.53,1,1,1,0,0,0
Tx_Box(Clone),0.42,0.5,0.47,1,1,1,0,0,0
Tx_Box(Clone),0.42,0.5,1.47,1,1,1,0,0,0
Tx_Box(Clone),0.42,0.5,2.47,1,1,1,0,0,0
Tx_Box(Clone),1.42,0.5,-1.53,1,1,1,0,0,0
Tx_Box(Clone),1.42,0.5,-0.53,1,1,1,0,0,0
Tx_Box(Clone),1.42,0.5,0.47,1,1,1,0,0,0
Tx_Box(Clone),1.42,0.5,1.47,1,1,1,0,0,0
Tx_Box(Clone),1.42,0.5,2.47,1,1,1,0,0,0
Tx_Box(Clone),-2.58,0.5,-7.62,1,1,1,0,0,0
Tx_Box(Clone),-2.58,0.5,-6.62,1,1,1,0,0,0
Tx_Box(Clone),-2.58,0.5,-5.62,1,1,1,0,0,0
Tx_Box(Clone),-2.58,0.5,-4.62,1,1,1,0,0,0
Tx_Box(Clone),-2.58,0.5,-3.62,1,1,1,0,0,0
Tx_Box(Clone),-1.58,0.5,-7.62,1,1,1,0,0,0
Tx_Box(Clone),-1.58,0.5,-6.62,1,1,1,0,0,0
Tx_Box(Clone),-1.58,0.5,-5.62,1,1,1,0,0,0
Tx_Box(Clone),-1.58,0.5,-4.62,1,1,1,0,0,0
Tx_Box(Clone),-1.58,0.5,-3.62,1,1,1,0,0,0
Tx_Box(Clone),-0.58,0.5,-7.62,1,1,1,0,0,0
Tx_Box(Clone),-0.58,0.5,-6.62,1,1,1,0,0,0
Tx_Box(Clone),-0.58,0.5,-5.62,1,1,1,0,0,0
Tx_Box(Clone),-0.58,0.5,-4.62,1,1,1,0,0,0
Tx_Box(Clone),-0.58,0.5,-3.62,1,1,1,0,0,0
Tx_Box(Clone),0.42,0.5,-7.62,1,1,1,0,0,0
Tx_Box(Clone),0.42,0.5,-6.62,1,1,1,0,0,0
Tx_Box(Clone),0.42,0.5,-5.62,1,1,1,0,0,0
Tx_Box(Clone),0.42,0.5,-4.62,1,1,1,0,0,0
Tx_Box(Clone),0.42,0.5,-3.62,1,1,1,0,0,0
Tx_Box(Clone),1.42,0.5,-7.62,1,1,1,0,0,0
Tx_Box(Clone),1.42,0.5,-6.62,1,1,1,0,0,0
Tx_Box(Clone),1.42,0.5,-5.62,1,1,1,0,0,0
Tx_Box(Clone),1.42,0.5,-4.62,1,1,1,0,0,0
Tx_Box(Clone),1.42,0.5,-3.62,1,1,1,0,0,0
Tx_Box(Clone),-0.84,0.768,5.46,1,1,1,0.174533,0,0
Tx_Box(Clone),-0.84,0.533,6.333,1,1,1,0.3490659,0,0
Tx_Box(Clone),-0.84,0.19,7.269,1,1,1,0.3490659,0,0
maguma,0.5,0.02,-2.51,1,1,1,0,0,0
Obj_Rock,-5.86,1,-1.476633,1,1,1,0,0,0
Obj_Rock,-4.17,1,-1.476633,1,1,1,0,0,0
Obj_Rock,3.49,1,-1.476633,1,1,1,0,0,0
Obj_Rock,-8.19,1,-1.476633,1,1,1,0,0,0
Cube,-0.58,0.5,-5.62,5,1,5,0,0,0
Tx_Box,-8.822524,-5.751127,4.727032,1,1,1,0,0,0
Cube,-0.58,0.5,0.47,5,1,5,0,0,0
Cube,-0.84,0.768,5.46,1,1,1,0.174533,0,0
Cube,-0.84,0.533,6.333,1,1,1,0.3490658,0,0
Cube,-0.84,0.19,7.269,1,1,1,0.3490658,0,0
Obj_Rock,5.81,1,-1.476633,1,1,1,0,0,0
RescurTarget_2,9.977436,1,-7.7,1,1,1,0,0,0
Goal,-5.5,1,1.63,1,1,1,0,0,0
maguma,-0.68,0.02,3.85,1,1,1,0,0,0
GameObject,9.977436,-16.87623,-1.476633,1,1,1,0,0,0
Player,1.25,3.9,3.28,1,1,1,0,0,0
stage,0,0,0,25,1,25,0,0,0
RescurTarget_1,-0.22,2,-7.11,1,1,1,0,0,0
