name,pos,scale,Rotation,,,,,,
Tx_Box(Clone),-33.02,1.94,10.51,1,1,1,0,0,0
Tx_Box(Clone),-33.02,1.94,11.51,1,1,1,0,0,0
Tx_Box(Clone),-33.02,1.94,12.51,1,1,1,0,0,0
Tx_Box(Clone),-33.02,1.94,13.51,1,1,1,0,0,0
Tx_Box(Clone),-33.02,1.94,14.51,1,1,1,0,0,0
Tx_Box(Clone),-33.02,1.94,15.51,1,1,1,0,0,0
Tx_Box(Clone),-33.02,1.94,16.51,1,1,1,0,0,0
Tx_Box(Clone),-33.02,1.94,17.51,1,1,1,0,0,0
Tx_Box(Clone),-32.02,1.94,10.51,1,1,1,0,0,0
Tx_Box(Clone),-32.02,1.94,11.51,1,1,1,0,0,0
Tx_Box(Clone),-32.02,1.94,12.51,1,1,1,0,0,0
Tx_Box(Clone),-32.02,1.94,13.51,1,1,1,0,0,0
Tx_Box(Clone),-32.02,1.94,14.51,1,1,1,0,0,0
Tx_Box(Clone),-32.02,1.94,15.51,1,1,1,0,0,0
Tx_Box(Clone),-32.02,1.94,16.51,1,1,1,0,0,0
Tx_Box(Clone),-32.02,1.94,17.51,1,1,1,0,0,0
Tx_Box(Clone),-31.02,1.94,10.51,1,1,1,0,0,0
Tx_Box(Clone),-31.02,1.94,11.51,1,1,1,0,0,0
Tx_Box(Clone),-31.02,1.94,12.51,1,1,1,0,0,0
Tx_Box(Clone),-31.02,1.94,13.51,1,1,1,0,0,0
Tx_Box(Clone),-31.02,1.94,14.51,1,1,1,0,0,0
Tx_Box(Clone),-31.02,1.94,15.51,1,1,1,0,0,0
Tx_Box(Clone),-31.02,1.94,16.51,1,1,1,0,0,0
Tx_Box(Clone),-31.02,1.94,17.51,1,1,1,0,0,0
Tx_Box(Clone),-30.02,1.94,10.51,1,1,1,0,0,0
Tx_Box(Clone),-30.02,1.94,11.51,1,1,1,0,0,0
Tx_Box(Clone),-30.02,1.94,12.51,1,1,1,0,0,0
Tx_Box(Clone),-30.02,1.94,13.51,1,1,1,0,0,0
Tx_Box(Clone),-30.02,1.94,14.51,1,1,1,0,0,0
Tx_Box(Clone),-30.02,1.94,15.51,1,1,1,0,0,0
Tx_Box(Clone),-30.02,1.94,16.51,1,1,1,0,0,0
Tx_Box(Clone),-30.02,1.94,17.51,1,1,1,0,0,0
Tx_Box(Clone),-29.02,1.94,10.51,1,1,1,0,0,0
Tx_Box(Clone),-29.02,1.94,11.51,1,1,1,0,0,0
Tx_Box(Clone),-29.02,1.94,12.51,1,1,1,0,0,0
Tx_Box(Clone),-29.02,1.94,13.51,1,1,1,0,0,0
